Name,Company directorships and controlling interests,Other companies and business entities,Employment,Beneficial interests in and trusteeships of trusts,Organisations and trusts seeking Government funding,Real property,Retirement schemes,Managed investment schemes,Debts owed to you,Debts owed by you,Overseas travel costs,Gifts,null,Payment for activities
Kiritapu Allan,"","","","Westridge Family Trust (beneficiary)","","Family home - Sponge Bay, Gisborne","AMP KiwiSaver","","","Bank of New Zealand - mortgage","","","",""
Ginny Andersen,"","","","","","Family home (jointly owned) - Lower Hutt","Bank of New Zealand KiwiSaver|AMP KiwiSaver","","","Kiwibank - mortgage on family home","","","",""
Jacinda Ardern,"","","","","Rocky Nook Bowls, Mt Albert - bowling club","Family home - Mt Albert electorate, Auckland","AMP Superannuation Master Trust|Booster KiwiSaver|Booster Super Scheme","","","Westpac Bank - mortgage","Japan - bilateral visit with trade delegation. Contributor to travel and accommodation: Government of Japan.|Singapore - bilateral visit with trade delegation. Contributor to travel: Government of Singapore.|Fiji - Pacific Islands Forum. Contributor to travel and accommodation: Government of Fiji.|Samoa - 60th Anniversary of the Treaty of Friendship. Contributor to travel and accommodation: Government of Samoa.|New York - United Nations High Level Week. Contributor to travel: Air New Zealand (return travel on the inaugural New York to Auckland flight).|Cambodia - East Asia Summit. Contributor to travel and accommodation: Government of Cambodia.|Viet Nam - bilateral visit with trade delegation. Contributor to travel and accommodation: Government of Viet Nam.|Thailand - Asia Pacific Economic Cooperation Leaders' Meeting. Contributor to travel and accommodation: Government of Thailand.","(Cumulative) loaned items - Juliette Hogan|(Cumulative) loaned items - Kate Sylvester|(Cumulative) loaned items - Zoe and Morgan|(Cumulative) loaned items - Carlson|(Cumulative) loaned items - Emilia Wickstead|(Cumulative) loaned items - Caitlin Crisp|Items for use and onward donation - Deadly Ponies|(Cumulative) loaned items - Meadowlark|Item for use and onward donation - Yu Mei|Handbag - female exporters involved in trade delegation to Australia (to be donated)|(Cumulative) wooden bowl with Harvard crest (x1), children's book (x1), merino cardigan (x1) - Harvard University|Large wooden bowl with presidential seal - President of the United States|Bronze medallion (edition 8/9, gifted by the artist) - Fiona Garlick|Tickets and corporate hospitality for Rugby World Cup opening test (Black Ferns vs Australia, 8 October 2022) - New Zealand Rugby|Tickets and corporate hospitality for New Zealand vs Australia match (13 March 2022) - New Zealand Cricket","",""
Chris Baillie,"The Honest Lawyer (2010) Limited - hospitality","The a2 Milk Company Limited|AFT Pharmaceuticals|BLIS Technologies|MHM Automation|NZX","","","","Family home (jointly owned) - Nelson","ANZ KiwiSaver","Smartshares Australian Dividend|Smartshares US Mid Cap Fund","","Westpac Bank - mortgage","","","",""
Andrew Bayly,"Paparimu Land Limited - residential property (investment)","","","A. H. Bayly Family Trust (trustee and beneficiary)|Kaitieke Trust (trustee and beneficiary)|Paparangi Trust (trustee and beneficiary)|Valerie and Trevor Bennett Family Trust (trustee and beneficiary)|Waitahinga Trust (beneficiary)","","Family home (in trust) - Bombay, Auckland|Farm (in trust) - Waikato|Share of house (in trust) - Coromandel|Apartment (in trust) - Wellington|Share of apartment (in trust) - Queenstown|Share of residential property (through Paparimu Land Limited) - Onehunga,|Auckland","Simplicity KiwiSaver","","A. H. Bayly Family Trust - trust loan*|Paparangi Trust - trust loan*|Kaitieke Trust - trust loan*|Paparimu Land Limited - trust loan*","Waitahinga Trust - current account*","","","",""
Camilla Belich,"","","","The Valerie Belich Trust (beneficiary)|The Belich Trust (beneficiary)","","Family home (jointly owned) - Auckland|Former family home (jointly owned leasehold property), currently rented -|London, United Kingdom|Beneficial interest in family holiday home (owned by the Belich Trust) -|Waikanae Beach","UNISON Staff Pension Scheme (no contributions since 2016) - L&G, Wellington|Management, Standard Life, Pyrford|AMP KiwiSaver","","","ANZ Bank - mortgage|Skipton International - mortgage","","Eden Park in Lego (24 March 2022) - Eden Park|Tickets to Dawn Raids (x2; 18 August 2022) - Auckland Theatre Company|Goodie bag (31 August 2022) - South Waikato Expo|NZSO tickets (x2; 30 September 2022) - NZSO|Rugby World Cup tickets and hospitality at Eden Park (x2; 8 October 2022) -|Spark","",""
David Bennett,"Agincourt Farms Limited - dairy farming|Arapuni Investments Limited (50 percent) - dairy farming|Pirongia Limited (50 percent) - dairy and kiwifruit farming|Horizon Partners Limited","","","D A Bennett Family Trust (trustee and beneficiary)","","Dairy farms (x4) - Te Awamutu|Drystock property - Te Awamutu|Kiwifruit blocks (x2) - Te Awamutu|Residential property - Hamilton","SF Superannuation Scheme|Booster KiwiSaver","","","","","","",""
Glen Bennett,"","","","","","Residential property (jointly owned) - Marfell, New Plymouth","Booster KiwiSaver","","","TSB Bank - mortgage","","","",""
Chris Bishop,"","Parrotdog Brewing Limited - craft beer|Paysauce Limited - payroll software|Telstra - telecommunications|Kiwi Income Property - property","","","","Property - Days Bay, Lower Hutt","ANZ KiwiSaver","","","ANZ Bank - mortgage","","","",""
Rachel Boyack,"","","","","Cawthron Institute Trust (trustee) - scientific research and education","Family home (jointly owned) - Nelson","Lifestages KiwiSaver Scheme","","","Westpac Bank - mortgage on family home","","Pre-match hospitality during rugby season - Tasman Rugby Union|Cultural dress, alcohol - Raj Singh and Ajit Kaur","",""
