Title,Subtitle,DateTime
PRIVILEGE,Consideration of Report of Privileges Committee—Disclosure of Outcome of Vote Taken During the Environment Committee's Consideration of a Bill,2023-03-29 14:47:50
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 5 to Minister,2023-07-27 18:01:43
VISITORS,Australia—Prime Minister,2023-07-26 14:01:41
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 7 to Minister,2023-07-26 12:57:01
VISITORS,Philippines—Senate,2023-07-25 14:00:56
URGENT DEBATES,Ministerial Resignation—Hon Kiritapu Allan,2023-07-25 14:59:09
MINISTERIAL STATEMENTS,Serious Firearms Incident—Auckland,2023-07-20 14:01:08
VOTING,Corrections,2023-07-19 14:48:28
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 8 to Minister,2023-07-19 17:45:36
VOTING,Correction—Sale and Supply of Alcohol (Rugby World Cup 2023 Extended Trading Hours) Amendment Bill,2023-07-19 19:15:00
VOTING,Correction—Business Payment Practices Bill,2023-07-19 19:22:46
PRIVILEGE,Registrar's Inquiry into Hon Michael Wood's compliance with the requirements of Appendix B of the Standing Orders—Question of Privilege,2023-07-18 14:03:04
URGENT DEBATES DECLINED,Oranga Tamariki—Fighting at Youth Justice Residences,2023-07-18 14:59:13
PRIVILEGE,Consideration of Report of Privileges Committee—Time Taken to Correct a Misleading Statement,2023-07-18 15:00:27
PERSONAL EXPLANATIONS,Privileges Committee—Report on Correction of Misleading Statement,2023-06-29 14:04:00
MOTIONS,New Zealand Special Olympics Team 2023—Congratulations,2023-06-28 14:00:55
URGENT DEBATES,Hon Michael Wood—Ministerial Resignation,2023-06-22 15:06:38
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 12 to Minister,2023-06-22 16:35:29
URGENT DEBATES,Oranga Tamariki—Allegations of Inappropriate Sexual Behaviour by Staff in Oranga Tamariki Residences,2023-06-21 14:50:43
URGENT DEBATES DECLINED,Hon Michael Wood—Resignation,2023-06-21 14:51:28
URGENT DEBATES,Oranga Tamariki—Allegations of Inappropriate Sexual Behaviour by Staff in Oranga Tamariki Residences,2023-06-21 14:52:09
PRIVILEGE,Disclosure of Select Committee Proceedings—Voting on Natural and Built Environment Bill,2023-06-20 14:01:04
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 6 to Minister, 8 June",2023-06-20 16:27:18
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 7 to Minister,2023-06-20 21:57:45
PERSONAL EXPLANATIONS,Annual Review Debate—Correction,2023-06-20 21:58:30
VISITORS,Commonwealth Parliamentary Association—UK Branch Delegation,2023-06-08 14:01:11
SPECIAL DEBATES,Local Issues,2023-06-08 14:51:39
STANDING ORDERS,Sessional,2023-06-08 16:22:14
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 11 to Minister,2023-06-08 16:35:20
VISITORS,"Australia—House of Representatives Standing Committee on Regional Development, Infrastructure and Transport",2023-06-07 14:00:54
SPEAKER'S RULINGS,Oral Questions—Members Quoting Partial Statements,2023-06-07 14:01:22
URGENT DEBATES DECLINED,"Hon Michael Wood—Auckland Airport, Potential Conflict of Interest",2023-06-06 14:52:47
VOTING,Correction—Health and Safety at Work (Health and Safety Representatives and Committees) Amendment Bill,2023-05-31 21:37:28
PRIVILEGE,Oral Questions—Correction of Supplementary Answer,2023-05-30 14:01:47
OBITUARIES,Her Royal Highness Princess Mele Siu'ilikutapu Kalaniuvalu Fotofili,2023-05-30 14:04:27
VOTING,Correction—Energy Resources Levy Amendment Bill,2023-05-19 10:36:11
BUDGET STATEMENT,,2023-05-18 14:05:41
VOTING,Correction—Health and Safety at Work (Health and Safety Representatives and Committees) Amendment Bill,2023-05-17 19:00:29
VOTING,Correction—Charities Amendment Bill,2023-05-17 21:48:05
VISITORS,Australia—Australia Political Exchange Delegation,2023-05-16 14:01:05
MINISTERIAL STATEMENTS,"Loafers Lodge Fire—Newtown, Wellington",2023-05-16 14:01:27
ANNUAL REVIEW DEBATE,In Committee,2023-05-16 15:17:53
APPOINTMENTS,Assistant Speaker,2023-05-10 14:55:37
STANDING ORDERS,Sessional,2023-05-10 14:56:04
SPEAKER'S STATEMENTS,Dr Elizabeth Kerekere,2023-05-09 14:01:16
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 2 to the Prime Minister, 8 March",2023-05-09 14:02:14
MOTIONS,His Majesty King Charles III—Coronation,2023-05-09 14:02:48
PERSONAL EXPLANATIONS,Leave Not Put,2023-05-09 14:11:18
MOTIONS,His Majesty King Charles III—Coronation,2023-05-09 14:11:39
PERSONAL EXPLANATIONS,Hon Meka Whaitiri,2023-05-09 14:18:27
MINISTERIAL STATEMENTS,"Emergency Management—Flooding in Auckland, 9 May 2023",2023-05-09 14:22:13
URGENT DEBATES DECLINED,Severe Weather Event—Northern Aotearoa New Zealand,2023-05-09 15:30:47
ANNUAL REVIEW DEBATE,In Committee,2023-05-09 15:32:18
OFFICES OF PARLIAMENT,Address to Governor-General,2023-05-09 19:36:44
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 8 to Minister,2023-05-09 19:57:14
SPEAKER'S RULINGS,Speaker's Role under Electoral Act 1993,2023-05-04 14:01:06
SPECIAL DEBATES,Local Issues,2023-05-04 15:16:26
VISITORS,Japan—National Diet,2023-05-03 14:01:24
SPEAKER'S STATEMENTS,Hon Meka Whaitiri—Independent Member,2023-05-03 14:01:54
APPOINTMENTS,,2023-05-03 16:21:34
ANNUAL REVIEW DEBATE,In Committee,2023-05-03 16:22:58
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 10 to Minister, 22 February",2023-05-02 14:01:13
URGENT DEBATES DECLINED,Immigration New Zealand—Dawn Raids,2023-05-02 14:56:03
MEMBER VACANCY,Mt Albert Electoral District—Rt Hon Jacinda Ardern,2023-05-02 14:57:20
ANNUAL REVIEW DEBATE,In Committee,2023-05-02 14:58:55
VISITORS,Australia—Deputy Prime Minister,2023-04-06 14:00:56
VOTING,Correction—Sale and Supply of Alcohol (Exemption for Race Meetings) Amendment Bill,2023-04-06 14:03:19
VOTING,Correction—Sale and Supply of Alcohol (Harm Minimisation) Amendment Bill,2023-04-06 15:45:36
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 3 to Minister, 4 April",2023-04-05 14:00:58
APPOINTMENTS,Independent Police Conduct Authority,2023-04-04 14:58:51
URGENT DEBATES,Hon Stuart Nash—Dismissal as Minister,2023-03-30 14:53:56
VOTING,Correction—Digital Identity Services Trust Framework Bill,2023-03-30 09:17:19
VOTING,Correction—Regulatory Systems (Education) Amendment Bill,2023-03-29 11:43:08
