_id,Contact,Salutation/Title,Job Title,Electorate,Party,Parliament Email
1,"Allan, Kiritapu",Hon,Member for East Coast,East Coast,Labour Party,Kiritapu.Allan@parliament.govt.nz
2,"Andersen, Ginny",Hon,Member for Hutt South,Hutt South,Labour Party,ginny.andersen@parliament.govt.nz
3,"Baillie, Chris","",List Member,"",ACT New Zealand,Christopher.Baillie@parliament.govt.nz
4,"Bayly, Andrew","",Member for Port Waikato,Port Waikato,National Party,Andrew.Bayly@parliament.govt.nz
5,"Belich, Camilla","",List Member,"",Labour Party,Camilla.Belich@parliament.govt.nz
6,"Bennett, David",Hon,List Member,"",National Party,David.Bennett@parliament.govt.nz
7,"Bennett, Glen","",Member for New Plymouth,New Plymouth,Labour Party,Glen.Bennett@parliament.govt.nz
8,"Bishop, Chris","",List Member,"",National Party,Christopher.Bishop@parliament.govt.nz
9,"Boyack, Rachel","",Member for Nelson,Nelson,Labour Party,Rachel.Boyack@parliament.govt.nz
10,"Brooking, Rachel",Hon,List Member,"",Labour Party,Rachel.Brooking@parliament.govt.nz
11,"Brown, Simeon","",Member for Pakuranga,Pakuranga,National Party,Simeon.Brown@parliament.govt.nz
12,"Brownlee, Gerry",Hon,List Member,"",National Party,Gerard.Brownlee@parliament.govt.nz
13,"Cameron, Mark","",List Member,"",ACT New Zealand,Mark.Cameron@parliament.govt.nz
14,"Chen, Naisi","",List Member,"",Labour Party,Naisi.Chen@parliament.govt.nz
15,"Chhour, Karen","",List Member,"",ACT New Zealand,Karen.Chhour@parliament.govt.nz
16,"Clark, David",Hon. Dr.,Member for Dunedin,Dunedin,Labour Party,David.Clark@parliament.govt.nz
17,"Coffey, T?mati","",List Member,"",Labour Party,Tamati.Coffey@parliament.govt.nz
18,"Collins, Judith",Hon,Member for Papakura,Papakura,National Party,Judith.Collins@parliament.govt.nz
19,"Court, Simon","",List Member,"",ACT New Zealand,Simon.Court@parliament.govt.nz
20,"Craig, Liz",Dr.,List Member,"",Labour Party,Liz.Craig@parliament.govt.nz
21,"Davidson, Marama",Hon,List Member,"",Green Party,Marama.Davidson@parliament.govt.nz
22,"Davis, Kelvin",Hon,Member for Te Tai Tokerau,Te Tai Tokerau,Labour Party,Kelvin.Davis@parliament.govt.nz
23,"Dean, Jacqui",Hon,Member for Waitaki,Waitaki,National Party,Jacqui.Dean@parliament.govt.nz
24,"Doocey, Matt","",Member for Waimakariri,Waimakariri,National Party,Matt.Doocey@parliament.govt.nz
25,"Eagle, Paul","",Member for Rongotai,Rongotai,Labour Party,Paul.Eagle@parliament.govt.nz
26,"Edmonds, Barbara",Hon,Member for Mana,Mana,Labour Party,Barbara.Edmonds@parliament.govt.nz
27,"Genter, Julie Anne",Hon,List Member,"",Green Party,JulieAnne.Genter@parliament.govt.nz
28,"Ghahraman, Golriz","",List Member,"",Green Party,Golriz.Ghahraman@parliament.govt.nz
29,"Goldsmith, Paul",Hon,List Member,"",National Party,Paul.Goldsmith@parliament.govt.nz
30,"Grigg, Nicola","",Member for Selwyn,Selwyn,National Party,Nicola.Grigg@parliament.govt.nz
31,"Halbert, Shanan","",Member for Northcote,Northcote,Labour Party,Shanan.Halbert@parliament.govt.nz
32,"Henare, Peeni",Hon,Member for Tamaki Makaurau,Tamaki Makaurau,Labour Party,Peeni.Henare@parliament.govt.nz
33,"Henderson, Emily",Dr.,Member for Whang?rei,Whang?rei ,Labour Party,Emily.Henderson@parliament.govt.nz
34,"Hipango, Harete","",List Member,"",National Party,Harete.Hipango@parliament.govt.nz
35,"Hipkins, Chris",Rt. Hon.,Member for Remutaka,Remutaka,Labour Party,Chris.Hipkins@parliament.govt.nz
36,"Jackson, Willie",Hon,List Member,"",Labour Party,Willie.Jackson@parliament.govt.nz
37,"Kanongataa, Anahila","",List Member,"",Labour Party,Anahila.Kanongata'a-Suisuiki@parliament.govt.nz
38,"Kerekere, Elizabeth",Dr.,List Member,"",Independent,Elizabeth.Kerekere@parliament.govt.nz
39,"Kuriger, Barbara","",Member for Taranaki-King Country,Taranaki-King Country,National Party,Barbara.Kuriger@parliament.govt.nz
